cluster,mean_dist,max_dist
1,974.66,2442.18
2,1064.0,2421.66
3,875.01,2019.67
4,926.11,2280.59
5,946.38,2478.75
6,816.36,1854.51
7,952.72,2222.72
8,910.77,2449.5
9,865.87,2235.54
10,885.09,2294.6
11,996.82,2313.79
12,862.01,2177.55
13,932.29,2105.56
14,1018.54,2473.79
15,948.08,2169.91
16,890.5,2247.69
17,1050.56,2482.48
18,929.32,2299.7
19,891.04,2199.29
20,1014.1,2581.21
21,948.94,2384.12
22,958.14,2452.95
23,862.92,2250.54
24,938.93,2523.9
25,953.78,2220.43
26,954.39,2388.0
27,838.39,2121.82
28,969.77,2383.54
29,956.68,2358.99
