clusterCount,gap
1,-18.429190416677933
2,-18.429315790172804
3,-18.437567339634214
4,-18.427343043060773
5,-18.44291963147371
6,-18.44896419114213
7,-18.432150047853643
8,-18.472258118758106
9,-18.414560118771618
10,-18.439706714678184
11,-18.407123754836263
12,-18.441265853901914
13,-18.498462497994257
14,-18.438866183299538
15,-18.44188497968316
16,-18.424563906410356
17,-18.41892056334404
18,-18.391191597610387
19,-18.44085089909083
20,-18.4030214188943
21,-18.4356501041726
22,-18.430944977570363
23,-18.43745724165801
24,-18.442743224163877
25,-18.45847179772143
26,-18.404769458238277
27,-18.43859895224123
28,-18.43489269377848
29,-18.36603273757932
30,-18.432340273655562
